date,open,high,low,close,volume
2019-08-09,201.3000,202.5000,199.3000,202.0900,16746653
2019-08-08,200.2000,203.5200,199.3900,203.4300,23890646
2019-08-07,195.4100,199.5600,193.8200,199.0400,33300300
2019-08-06,196.3100,198.0700,194.0400,197.0000,35824800
2019-08-05,197.9900,198.6500,192.5800,193.3400,52393000
2019-08-02,205.5300,206.4300,201.6300,204.0200,40862100
2019-08-01,213.9000,218.0300,206.7400,208.4300,54017900
2019-07-31,216.4200,221.3700,211.3000,213.0400,69281400
2019-07-30,208.7600,210.1600,207.3100,208.7800,33935700
2019-07-29,208.4600,210.6400,208.4400,209.6800,21673400
2019-07-26,207.4800,209.7300,207.1400,207.7400,17618900
2019-07-25,208.8900,209.2400,206.7300,207.0200,13909600
2019-07-24,207.6700,209.1500,207.1700,208.6700,14991600
2019-07-23,208.4600,208.9100,207.2900,208.8400,18355200
2019-07-22,203.6500,207.2300,203.6100,207.2200,22277900
2019-07-19,205.7900,206.5000,202.3600,202.5900,20929300
2019-07-18,204.0000,205.8800,203.7000,205.6600,18582200
2019-07-17,204.0500,205.0900,203.2700,203.3500,14107500
2019-07-16,204.5900,206.1100,203.5000,204.5000,16866800
2019-07-15,204.0900,205.8700,204.0000,205.2100,16947400
2019-07-12,202.4500,204.0000,202.2000,203.3000,17595200
2019-07-11,203.3100,204.3900,201.7100,201.7500,20191800
2019-07-10,201.8500,203.7300,201.5600,203.2300,17897100
2019-07-09,199.2000,201.5100,198.8100,201.2400,20578000
2019-07-08,200.8100,201.4000,198.4100,200.0200,25338600
2019-07-05,203.3500,205.0800,202.9000,204.2300,17265500
2019-07-03,203.2800,204.4400,202.6900,204.4100,11362000
2019-07-02,201.4100,203.1300,201.3600,202.7300,16935200
2019-07-01,203.1700,204.4900,200.6500,201.5500,27316700
2019-06-28,198.6800,199.5000,197.0500,197.9200,31110600
2019-06-27,200.2900,201.5700,199.5700,199.7400,20899700
2019-06-26,197.7700,200.9900,197.3500,199.8000,26067500
2019-06-25,198.4300,199.2600,195.2900,195.5700,21070300
2019-06-24,198.5400,200.1600,198.1700,198.5800,18220400
2019-06-21,198.8000,200.8500,198.1500,198.7800,47800600
2019-06-20,200.3700,200.6100,198.0300,199.4600,21514000
2019-06-19,199.6800,199.8800,197.3100,197.8700,21124200
2019-06-18,196.0500,200.2900,195.2100,198.4500,26551000
2019-06-17,192.9000,194.9600,192.1700,193.8900,14669100
2019-06-14,191.5500,193.5900,190.3000,192.7400,18761500
2019-06-13,194.7000,196.7900,193.6000,194.1500,21674600
2019-06-12,193.9500,195.9700,193.3900,194.1900,18253200
2019-06-11,194.8600,196.0000,193.6000,194.8100,26932900
2019-06-10,191.8100,195.3700,191.6200,192.5800,26220900
2019-06-07,186.5100,191.9200,185.7700,190.1500,30684400
2019-06-06,183.0800,185.4700,182.1500,185.2200,22526300
2019-06-05,184.2800,184.9900,181.1400,182.5400,29773400
2019-06-04,175.4400,179.8300,174.5200,179.6400,30968000
2019-06-03,175.6000,177.9200,170.2700,173.3000,40396100
2019-05-31,176.2300,177.9900,174.9900,175.0700,27043600
2019-05-30,177.9500,179.2300,176.6700,178.3000,21218400
2019-05-29,176.4200,179.3500,176.0000,177.3800,28481200
2019-05-28,178.9200,180.5900,177.9100,178.2300,27948200
2019-05-24,180.2000,182.1400,178.6200,178.9700,23714700
2019-05-23,179.8000,180.5400,177.8100,179.6600,36529700
2019-05-22,184.6600,185.7100,182.5500,182.7800,29748600
2019-05-21,185.2200,188.0000,184.7000,186.6000,28364800
2019-05-20,183.5200,184.3500,180.2800,183.0900,38612300
2019-05-17,186.9300,190.9000,186.7600,189.0000,32879100
2019-05-16,189.9100,192.4700,188.8400,190.0800,33031400
2019-05-15,186.2700,191.7500,186.0200,190.9200,26544700
2019-05-14,186.4100,189.7000,185.4100,188.6600,36529700
2019-05-13,187.7100,189.4800,182.8500,185.7200,57430600
2019-05-10,197.4200,198.8500,192.7700,197.1800,41208700
2019-05-09,200.4000,201.6800,196.6600,200.7200,34908600
2019-05-08,201.9000,205.3400,201.7500,202.9000,26339500
2019-05-07,205.8800,207.4200,200.8300,202.8600,38763700
2019-05-06,204.2900,208.8400,203.5000,208.4800,32443100
2019-05-03,210.8900,211.8400,210.2300,211.7500,20892400
2019-05-02,209.8400,212.6500,208.1300,209.1500,31996300
