date,open,high,low,close,volume
2019-08-09 14:39:00,202.0200,202.0900,202.0200,202.0485,39643
2019-08-09 14:38:00,202.0800,202.1400,202.0250,202.0300,36484
2019-08-09 14:37:00,202.2300,202.3000,202.0900,202.0900,51287
2019-08-09 14:36:00,202.3500,202.3900,202.2400,202.2400,46430
2019-08-09 14:35:00,202.3800,202.4400,202.3100,202.3300,41671
2019-08-09 14:34:00,202.4100,202.4400,202.3800,202.3800,42975
2019-08-09 14:33:00,202.3200,202.4200,202.3000,202.4100,41821
2019-08-09 14:32:00,202.2600,202.3200,202.2437,202.3200,29666
2019-08-09 14:31:00,202.2400,202.2899,202.1700,202.2700,33470
2019-08-09 14:30:00,202.2250,202.2300,202.1200,202.2280,38500
2019-08-09 14:29:00,202.2200,202.2300,202.1921,202.2239,15386
2019-08-09 14:28:00,202.2050,202.2400,202.1700,202.2200,33389
2019-08-09 14:27:00,202.1667,202.2373,202.1550,202.2000,37796
2019-08-09 14:26:00,202.0432,202.1800,201.9850,202.1400,61509
2019-08-09 14:25:00,201.9368,202.0500,201.9368,202.0293,0
2019-08-09 14:24:00,201.8300,201.9600,201.8300,201.9400,26232
2019-08-09 14:23:00,201.7900,201.8400,201.7700,201.8300,20522
2019-08-09 14:22:00,201.8400,201.8750,201.7900,201.7900,17028
2019-08-09 14:21:00,201.9000,201.9300,201.8100,201.8400,21886
2019-08-09 14:20:00,201.7700,201.9150,201.7400,201.9000,25285
2019-08-09 14:19:00,201.8100,201.8222,201.7300,201.7600,23896
2019-08-09 14:18:00,201.8400,201.8600,201.7801,201.7900,29652
2019-08-09 14:17:00,201.9000,201.9300,201.8300,201.8400,19597
2019-08-09 14:16:00,201.9000,201.9300,201.8401,201.8800,14689
2019-08-09 14:15:00,201.9700,201.9700,201.8600,201.9000,14087
2019-08-09 14:14:00,201.9304,202.0134,201.9100,201.9800,23373
2019-08-09 14:13:00,201.9100,201.9500,201.8200,201.9300,20935
2019-08-09 14:12:00,201.8800,201.9900,201.8700,201.9100,29620
2019-08-09 14:11:00,201.9547,201.9799,201.8250,201.8800,37708
2019-08-09 14:10:00,201.9600,202.0000,201.9150,201.9400,19646
2019-08-09 14:09:00,201.9450,201.9500,201.8200,201.9300,35575
2019-08-09 14:08:00,201.9800,201.9830,201.9300,201.9400,28319
2019-08-09 14:07:00,201.9768,202.0000,201.9400,201.9852,27469
2019-08-09 14:06:00,201.8100,201.9950,201.7700,201.9800,57807
2019-08-09 14:05:00,201.6900,201.8200,201.6900,201.7900,31328
2019-08-09 14:04:00,201.6700,201.7700,201.6700,201.7015,30206
2019-08-09 14:03:00,201.6366,201.7200,201.6000,201.6600,32688
2019-08-09 14:02:00,201.7400,201.7600,201.6300,201.6408,43725
2019-08-09 14:01:00,201.8000,201.8500,201.7300,201.7500,26938
2019-08-09 14:00:00,201.8600,201.9300,201.7800,201.8000,18320
2019-08-09 13:59:00,201.8700,201.8800,201.7400,201.8508,45985
2019-08-09 13:58:00,201.9700,201.9838,201.8400,201.8400,21793
2019-08-09 13:57:00,201.9500,202.0200,201.9400,201.9800,30999
2019-08-09 13:56:00,202.0600,202.1000,201.9500,201.9700,22014
2019-08-09 13:55:00,202.1788,202.2000,201.9900,202.0400,44623
2019-08-09 13:54:00,202.2000,202.2700,202.1601,202.1690,30118
2019-08-09 13:53:00,202.1900,202.2246,202.1550,202.1900,25747
2019-08-09 13:52:00,202.2400,202.2500,202.1300,202.1800,35637
2019-08-09 13:51:00,202.2700,202.2999,202.1600,202.2200,27441
2019-08-09 13:50:00,202.2000,202.3200,202.0800,202.2800,64861
2019-08-09 13:49:00,202.1600,202.2230,202.1100,202.2000,45420
2019-08-09 13:48:00,202.3000,202.3000,202.1470,202.1470,25711
2019-08-09 13:47:00,202.3050,202.3300,202.2700,202.2909,28877
2019-08-09 13:46:00,202.2700,202.3440,202.2600,202.3050,21639
2019-08-09 13:45:00,202.3000,202.3300,202.2100,202.2700,24749
2019-08-09 13:44:00,202.2650,202.3100,202.1600,202.2900,35880
2019-08-09 13:43:00,202.3200,202.3600,202.1900,202.2700,53216
2019-08-09 13:42:00,202.2800,202.3200,202.2500,202.3200,20433
2019-08-09 13:41:00,202.2241,202.2800,202.1966,202.2800,23969
2019-08-09 13:40:00,202.1700,202.3500,202.1500,202.2213,41127
2019-08-09 13:39:00,202.1950,202.2090,202.1000,202.1650,35004
2019-08-09 13:38:00,202.2750,202.3100,202.1913,202.2000,24048
2019-08-09 13:37:00,202.3400,202.3400,202.2520,202.3000,43213
2019-08-09 13:36:00,202.3400,202.4000,202.3300,202.3339,27225
2019-08-09 13:35:00,202.4100,202.4199,202.3400,202.3500,28060
2019-08-09 13:34:00,202.1900,202.4200,202.1900,202.4135,90067
2019-08-09 13:33:00,202.2000,202.2300,202.0700,202.2100,82767
2019-08-09 13:32:00,201.9650,202.2500,201.9241,202.2000,95146
2019-08-09 13:31:00,201.8100,202.0500,201.8100,202.0000,103539
2019-08-09 13:30:00,201.7800,201.8500,201.7600,201.7900,22270
2019-08-09 13:29:00,201.8400,201.8800,201.7700,201.7790,24926
2019-08-09 13:28:00,201.7700,201.8700,201.7300,201.8299,50674
