date,open,high,low,close,volume
2019-08-09 14:39:00,137.9300,137.9900,137.9100,137.9866,20578
2019-08-09 14:38:00,137.9900,138.0400,137.9300,137.9300,16809
2019-08-09 14:37:00,138.1399,138.1600,137.9800,137.9800,44116
2019-08-09 14:36:00,138.1900,138.2172,138.1400,138.1500,15172
2019-08-09 14:35:00,138.2550,138.3000,138.2000,138.2059,31839
2019-08-09 14:34:00,138.3238,138.3300,138.2300,138.2550,26293
2019-08-09 14:33:00,138.2900,138.3300,138.2800,138.3239,22460
2019-08-09 14:32:00,138.2728,138.3000,138.2400,138.2900,25418
2019-08-09 14:31:00,138.2100,138.2999,138.1600,138.2716,25324
2019-08-09 14:30:00,138.2500,138.2500,138.1620,138.1750,22170
2019-08-09 14:29:00,138.2600,138.2800,138.2532,138.2532,24285
2019-08-09 14:28:00,138.1900,138.2800,138.1760,138.2300,39083
2019-08-09 14:27:00,138.2400,138.2800,138.1500,138.1795,33254
2019-08-09 14:26:00,138.1900,138.2600,138.1100,138.2200,60874
2019-08-09 14:25:00,138.1100,138.1900,138.1000,138.1800,30831
2019-08-09 14:24:00,138.0000,138.1200,138.0000,138.1100,0
2019-08-09 14:23:00,137.9850,138.0250,137.9500,137.9600,17106
2019-08-09 14:22:00,137.9500,137.9900,137.9100,137.9890,14119
2019-08-09 14:21:00,138.0623,138.0623,137.9400,137.9500,23116
2019-08-09 14:20:00,137.9401,138.0800,137.9250,138.0596,20414
2019-08-09 14:19:00,137.9500,137.9734,137.9300,137.9350,15217
2019-08-09 14:18:00,137.9600,137.9700,137.9300,137.9400,8001
2019-08-09 14:17:00,137.9600,138.0095,137.9400,137.9516,28484
2019-08-09 14:16:00,137.9512,137.9900,137.9145,137.9400,14179
2019-08-09 14:15:00,138.0398,138.0398,137.9244,137.9500,22866
2019-08-09 14:14:00,137.9900,138.0685,137.9700,138.0400,21265
2019-08-09 14:13:00,138.0400,138.0400,137.9324,137.9800,18562
2019-08-09 14:12:00,137.9900,138.0600,137.9800,138.0300,22408
2019-08-09 14:11:00,138.0300,138.0500,137.9750,137.9900,24742
2019-08-09 14:10:00,137.9900,138.0600,137.9900,138.0200,22976
2019-08-09 14:09:00,138.0250,138.0250,137.9100,137.9900,50227
2019-08-09 14:08:00,138.1003,138.1297,138.0250,138.0250,22512
2019-08-09 14:07:00,138.1000,138.1150,138.0800,138.1000,15783
2019-08-09 14:06:00,137.9200,138.0994,137.9200,138.0900,64730
2019-08-09 14:05:00,137.9300,137.9450,137.8800,137.9000,19223
2019-08-09 14:04:00,137.9100,138.0050,137.9100,137.9300,32938
2019-08-09 14:03:00,137.9049,137.9400,137.8300,137.9000,29251
2019-08-09 14:02:00,137.9300,137.9300,137.8700,137.9000,22542
2019-08-09 14:01:00,137.9900,138.0100,137.9300,137.9360,19298
2019-08-09 14:00:00,138.0300,138.0650,137.9800,137.9900,18549
2019-08-09 13:59:00,138.0400,138.0500,137.9400,138.0168,53802
2019-08-09 13:58:00,138.0900,138.0900,138.0300,138.0400,18589
2019-08-09 13:57:00,138.0214,138.1000,138.0214,138.0951,19811
2019-08-09 13:56:00,138.1200,138.1200,138.0200,138.0300,20236
2019-08-09 13:55:00,138.2000,138.2100,138.0900,138.1200,23404
2019-08-09 13:54:00,138.2100,138.2500,138.1900,138.2000,20407
2019-08-09 13:53:00,138.1600,138.2200,138.1450,138.2100,20024
2019-08-09 13:52:00,138.1600,138.1700,138.0800,138.1444,56255
2019-08-09 13:51:00,138.2100,138.2344,138.0900,138.1500,30435
2019-08-09 13:50:00,138.1400,138.2700,138.0800,138.2300,76223
2019-08-09 13:49:00,138.0700,138.1400,138.0600,138.1365,33127
2019-08-09 13:48:00,138.2100,138.2100,138.0800,138.0800,35575
2019-08-09 13:47:00,138.2200,138.2400,138.1900,138.2100,14152
2019-08-09 13:46:00,138.2236,138.2600,138.1900,138.2180,23534
2019-08-09 13:45:00,138.2700,138.2900,138.1900,138.2100,19983
2019-08-09 13:44:00,138.2450,138.2900,138.1900,138.2700,21401
2019-08-09 13:43:00,138.2700,138.3070,138.1900,138.2400,31326
2019-08-09 13:42:00,138.3000,138.3100,138.2700,138.2888,20774
2019-08-09 13:41:00,138.1600,138.3100,138.1400,138.3100,25010
2019-08-09 13:40:00,138.1400,138.3000,138.1400,138.1600,39330
2019-08-09 13:39:00,138.2050,138.2050,138.1300,138.1588,33356
2019-08-09 13:38:00,138.1900,138.2200,138.1750,138.2086,25622
2019-08-09 13:37:00,138.1900,138.2000,138.1400,138.1900,20921
2019-08-09 13:36:00,138.2000,138.3000,138.1900,138.2047,55432
2019-08-09 13:35:00,138.3000,138.3068,138.1900,138.1900,43334
2019-08-09 13:34:00,138.3700,138.4300,138.3100,138.3100,88121
2019-08-09 13:33:00,138.3625,138.3700,138.2050,138.3700,94511
2019-08-09 13:32:00,138.2300,138.4300,138.2170,138.3700,65764
2019-08-09 13:31:00,138.0300,138.2600,138.0300,138.2397,85217
2019-08-09 13:30:00,137.9900,138.0500,137.9740,138.0150,33199
2019-08-09 13:29:00,138.1100,138.1400,138.0000,138.0000,41595
2019-08-09 13:28:00,138.0600,138.1600,138.0300,138.1100,37047
2019-08-09 13:27:00,137.9700,138.1300,137.9600,138.0600,74025
2019-08-09 13:26:00,137.8800,137.9700,137.8600,137.9600,21927
2019-08-09 13:25:00,137.9300,137.9700,137.8500,137.8754,22315
2019-08-09 13:24:00,138.0900,138.0970,137.9050,137.9400,82981
2019-08-09 13:23:00,137.9223,138.1600,137.9140,138.0900,155241
2019-08-09 13:22:00,137.9600,137.9700,137.8800,137.9202,28537
2019-08-09 13:21:00,137.7900,137.9800,137.7350,137.9500,87863
2019-08-09 13:20:00,137.9199,137.9199,137.7600,137.8000,62357
2019-08-09 13:19:00,137.7900,137.9125,137.7671,137.9125,43581
