date,open,high,low,close,volume
2019-08-09,213.9000,218.0300,192.5800,202.1900,257063686
2019-07-31,203.1700,221.3700,198.4100,213.0400,473957000
2019-06-28,175.6000,201.5700,170.2700,197.9200,515218700
2019-05-31,209.8800,215.3100,174.9900,175.0700,739456600
2019-04-30,191.6400,208.4800,188.3800,200.6700,506117700
2019-03-29,174.2800,197.6900,169.5000,189.9500,650981400
2019-02-28,166.9600,175.8700,165.9300,173.1500,472540600
2019-01-31,154.8900,169.0000,142.0000,166.4400,828087400
2018-12-31,184.4600,184.9400,146.5900,157.7400,898922500
2018-11-30,219.0500,222.3600,170.2600,178.5800,961326400
2018-10-31,227.9500,233.4700,206.0900,218.8600,789748500
2018-09-28,228.4100,229.6700,215.3000,225.7400,678972000
2018-08-31,199.1300,228.8700,197.3100,227.6300,700318900
2018-07-31,183.8200,195.9600,183.4200,190.2900,393691400
2018-06-29,187.9900,194.2000,180.7300,185.1100,527624500
2018-05-31,166.4100,190.3700,165.2700,186.8700,620976300
2018-04-30,166.6400,178.9400,160.6300,165.2600,666154300
2018-03-29,178.5400,183.5000,164.9400,167.7800,713727700
2018-02-28,167.1700,180.6200,150.2400,178.1200,927894300
2018-01-31,170.1600,180.1000,164.7000,167.4300,659679400
2017-12-29,169.9500,177.2000,166.4600,169.2300,531183800
2017-11-30,169.8700,176.2400,165.2800,171.8500,600663400
2017-10-31,154.2600,169.6500,152.4600,169.0400,504291300
2017-09-29,164.8000,164.9400,149.1600,154.1200,680374100
2017-08-31,149.1000,164.5200,148.4100,164.0000,661069000
2017-07-31,144.8800,153.9900,142.4100,148.7300,422011900
2017-06-30,153.1700,155.9800,142.2000,144.0200,684178100
2017-05-31,145.1000,156.6500,144.2700,152.7600,653981800
2017-04-28,143.7100,145.4600,140.0600,143.6500,373304100
2017-03-31,137.8900,144.5000,137.0500,143.6600,561628400
2017-02-28,127.0300,137.4800,127.0100,136.9900,574968600
2017-01-31,115.8000,122.4400,114.7600,121.3500,563122000
2016-12-30,110.3700,118.0200,108.2500,115.8200,608771700
2016-11-30,113.4600,113.7700,104.0800,110.5200,721555000
2016-10-31,112.7100,118.6900,112.2800,113.5400,686914300
2016-09-30,106.1400,116.1800,102.5300,113.0500,968015600
2016-08-31,104.4100,110.2300,104.0000,106.1000,630128500
